Fund Name,Amount Raised $M USD,Date announced and or Raised,Year Raised,Fund Number,Location,Notes
1,Cake Ventures,$17,1/12/2023,2023,I,Bay Area,https://www.forbes.com/sites/alexkonrad/2023/01/12/monique-woodard-new-fund-cake-ventures/?sh=7519f52b6b47
2,FJ Labs,$200,1/25/2023,2023,I,NYC,https://techcrunch.com/2023/01/25/most-active-investor-fj-labs-closes-on-260m-across-two-new-vehicles/
3,Cowboy Ventures,$140,1/23/2023,2023,IV,"Bay Area, NYC",https://techcrunch.com/2023/01/23/cowboy-ventures-goes-bigger-with-260m-across-two-new-funds-including-an-opportunity-fund/
4,Courtside Ventures,$100,1/19/2023,2023,III,NYC,https://venturebeat.com/games/courtside-ventures-raises-100m-fund-for-sports-collectibles-wellness-and-gaming/
5,Sequoia Capital Seed Fund,$195,1/18/2023,2023,V,Bay Area,https://www.sequoiacap.com/article/seed-fund-and-arc-announcement/
6,Not Boring Capital,$30,1/10/2023,2023,III,NYC,
7,10D,$185,12/20/2022,2022,II,Tel Aviv,https://www.calcalistech.com/ctechnews/article/hygyjn1yi
8,Wischoff Ventures,$20,12/16/2022,2022,II,Tennessee,https://techcrunch.com/2022/12/16/solo-gp-nichole-wischoff-raises-20m-fund-backed-by-peter-thiel-to-invest-in-unsexy-businesses/
9,Jetstream,$10,12/15/2022,2022,I,Bay Area,https://twitter.com/leepnet/status/1603427675279720452
10,Boulder Ventures,$58,12/7/2022,2022,VII,Colorado and DC,https://www.bizjournals.com/denver/inno/stories/news/2022/12/07/boulder-ventures-closes-fund-colorado-startup.html
11,Coelius Capital,$33,12/14/2022,2022,II,Bay Area,https://www.linkedin.com/pulse/announcing-coelius-capital-2-zach-coelius
12,Union Square Ventures - climate fund,$200,12/9/2022,2022,II,NYC,
13,645 Ventures,$194,12/1/2022,2022,IV,NYC,
14,Banana Capital,$20,11/30/2022,2022,II,,https://www.thespl.it/p/banana-fund-2
15,Double Down ,$30,11/2/2022,2022,I,"Miami, FL",https://techcrunch.com/2022/11/02/crypto-consumer-web3-solo-female-gp-magdalena-kala-double-down/?tpcc=tcplustwitter
16,Streamlined Ventures,$140,10/27/2022,2022,V,Bay Area,
17,Propeller Ventures,$100,10/20/2022,2022,I,Boston,https://www.propellervc.com/blog/introducingpropeller
18,Will Ventures,$150,10/18/2022,2022,II,Boston,https://techcrunch.com/2022/10/18/will-ventures-second-fund-sports-technologies/
19,Conviction,$100,10/4/2022,2022,I,,https://sarahguo.com/blog/conviction
20,Dorm Room Fund,$13,9/6/2022,2022,I,"Boston, NYC, SF, Philly",
21,Shima Capital,$200,8/17/2022,2022,I,,https://www.coindesk.com/business/2022/08/17/bill-ackman-among-investors-as-venture-capital-crypto-firm-shima-capital-raises-200m-fund/
22,Life Extension Ventures,$100,8/18/2022,2022,I,"NYC, London, SF",https://techcrunch.com/2022/08/18/this-new-100m-fund-plans-to-focus-on-startups-accelerating-the-science-around-longevity/
23,Tapestry,$31,8/3/2022,2022,II,"SF, London, Dublin",https://www.siliconrepublic.com/start-ups/tapestry-vc-venture-capital-two-funds
24,Spacecadet Ventures,$15,8/1/2022,2022,I,NYC,https://www.businessinsider.com/spacecadet-ventures-vc-pitch-deck-raise-money-seed-fund-2022-2
25,ANIMO Ventures,$78,7/28/2022,2022,II,Miami,
26,House Capital,$10,7/27/2022,2022,I,"NYC, SF, LA",https://www.businesswire.com/news/home/20220727005080/en/Launch-House-Announces-House-Capital---Its-Venture-Arm
27,Protagonist,$100,7/12/2022,2022,I,Miami,https://www.coindesk.com/business/2022/07/12/solanas-macalinao-brothers-launch-100m-vc-fund/
28,Conscience,$10,7/12/2022,2022,I,Miami,https://techcrunch.com/2022/07/12/conscience-vc-raises-oversubscribed-fund-for-consumer-companies-rooted-in-science/amp/
29,Race Capital,$150,7/11/2022,2022,II,Bay Area,https://www.axios.com/pro/fintech-deals/2022/06/30/race-capital-150-million-second-fund?utm_source=substack&utm_medium=email
30,Lorimer Ventures,$10,7/1/2022,2022,I,NYC,
31,Recripocal Ventures,$70,6/28/2022,2022,II,NYC,https://www.theblock.co/post/154743/early-stage-solana-backer-reciprocal-ventures-launches-70-million-fund
