Name,Logo,Site,Funding Rounds,Location(s),Notes
.406 Ventures,vmm6ugjlhyps9yhu3ufi.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/N7PXL2RVPvziynoUA0drfQ/Wsr1cUc0_-KON_pYnep6aytjzjl9mBUFwyJbIPqsAdGODA5jQtLxg_PxMMk1lUQz/N7-XZnjt9pDf0DJDipwbfdqU_86gINtJek-MONkEMuo),http://www.406ventures.com/,.406 Ventures II,Boston/Cambridge,
83North,booplpldsebesnxqyt3o.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/kAVoSc-vkBHsq-HViV4sTw/pm9-mkAw51DQm5jG8rzGI-kEKbwyAffpE4E477VL5FKEck0eQreGOFvRs5W_Oq8p/x1P9dbYPSpF-n3VIH6bJE7sA1_UKVl2MzQu1PaXTwU4),http://www.83north.com/,83North I,"Tel Aviv Metro Area,London",Formerly Greylock IL
500 Startups,ehscebzgx2cvshmw9vxb.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/S0x6GMQvujfXq-vCwpim_g/_ppkBECZwGV_QNIImsBOLFURX0bq50LuYFSWZdwyTaQPBch_2pCF1IxeMkdp-8lz/1A7jpKiRqfQrcPVU14ZekM_s4V9AdFSzfmlkvfDY3TQ),http://500.co/,"500 Startups III,500 Startups II,500 Startups I","SF Bay Area/Silicon Valley,""New York, NY"",Mexico City",
1955 Capital,im04cp1aagy36n35cdhz.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/IS4PMG3FthwAHPppZ0NDgQ/qce2bxLUfR54dKYvp9roYEhH72WVXDTgnaRzIYRhE08tRVYE0cDUwdNQ8dMjWrdK/scsZitD-GKKfjzbbxO25SxfhP0FcuvXVtAAAsM2xDUg),http://www.1955.capital/,1955 Capital I,SF Bay Area/Silicon Valley,
Acton Capital Partners,acton_capital_partners.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/PhEtw4EPbrt-ryH25k1dpw/JWn2yGvgPXfPpAcFeVXE3Hc3SLg3yhInAZw7DTznk1GsyUN9ivGT_YVi5YXShytW/YZFn1JU2ESCZNVnnijMjuT7xSPG-1CcgmZdvOpCU--s),http://www.actoncapital.com/,Acton Capital Partners II,Munich,
AH Bio Fund,andreesen_horowitz.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/9a9G6p6szpvmOcYalR5xyg/-i3hLR2nsPcF2RHxiN3EYZBXJYt5_-KrtP7qn6ih3G5G-PxLlJX42cWLm2jLLkk-/Ew1K4K8-hYQG97inBI0FBXvTydivhijIg0pS0Qdeiuc),http://www.a16z.com/,AH Bio Fund I,SF Bay Area/Silicon Valley,
Akkadian Ventures,akkadian_ventures.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/bAPMI9S1PKAvOpyotBZovw/IewFQSX_gi_bDoV5J8RxcgNXP9vlOHLr7IJ0KvRg8NeiRzhQY9dqkiquO-vIz2Cq/EVhBbhSwogtferAw0kGh8g7cnzR3EOf_eAqqO6eMpPY),http://www.akkadianventures.com/,Akkadian Ventures III,SF Bay Area/Silicon Valley,
Aleph,26aede45ba3f3e304ec6f80014f919c6.png (https://v5.airtableusercontent.com/v1/15/15/1678500000000/VTWS0w01P7eiS7bqXaYVBQ/MOF2KC0DR0vZcqkrIrhAqObde3sHju5Z3pcaCviG98rvID58D4x5Fn5tcqOrfP22ltWfNEteC8B_55aBCgn3gw/0Vdvrf9B8gwFir58Rf9_kBCwaDgI7uv0sgiwuC1GpDY),http://aleph.vc/,Aleph I,Tel Aviv Metro Area,
Aligned Partners,f01ae3f6f8dafa6d25c65fabef5496e2.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/WBTXqqqP5zEEDvBWgkjKaQ/xcvNE44JUdqxxgoLkiGw6mTihJQ2UvaMr_otc29jE8_O6yvF3MHC8W8XkqNhTBOawB2vS6gnann4-9bKNUDprA/H_9iOoSBakXloJHaslDE3JGxAvQ6YuU2KBLRg_k3tD0),http://alignedvc.com/,Aligned Partners II,SF Bay Area/Silicon Valley,
Alsop Louie,alsop_louie.jpg (https://v5.airtableusercontent.com/v1/15/15/1678500000000/h1fKbt2OsTp6cfBuVPmauA/Ufyu5RvRLfyWicsXRw7sQrfN1UsbkhTIz5FjLHXzu7eGs547jj6rTenMLUqfm4EN/6XF9pFeQ9jCdjnPTkr7krvi_Kfe-ZLB3zE38uNuU-OY),http://www.alsop-louie.com/,Alsop Louie III,SF Bay Area/Silicon Valley,
